area,year,month_name,mean_total_water,sd_total_water,mean_class1,mean_class2,mean_class3,n,month
Clear Lake,2016,Mar,23.132,3.477,0.002,22.449,0.681,2,3
Clear Lake,2016,Apr,18.014,3.62,0,17.666,0.348,2,4
Clear Lake,2016,May,13.2,5.202,0,12.918,0.282,4,5
Clear Lake,2016,Jun,15.36,1.854,0,15.103,0.257,3,6
Clear Lake,2016,Jul,11.576,5.473,0,11.367,0.209,4,7
Clear Lake,2016,Aug,16.856,3.927,0,16.462,0.394,3,8
Clear Lake,2016,Sep,13.154,2.024,0,12.915,0.239,2,9
Clear Lake,2016,Oct,12.023,0.495,0,9.709,2.314,2,10
Clear Lake,2016,Nov,15.401,NA,0,14.191,1.21,1,11
Clear Lake,2017,Jan,99.843,NA,89.475,1.033,9.335,1,1
Clear Lake,2017,Mar,77.814,NA,13.185,27.789,36.84,1,3
Clear Lake,2017,Apr,16.261,NA,0,16.107,0.154,1,4
Clear Lake,2017,May,19.835,1.725,0.018,19.667,0.15,3,5
Clear Lake,2017,Jun,12.222,8.393,0.033,12.071,0.118,3,6
Clear Lake,2017,Jul,13.822,4.345,0.043,13.682,0.096,2,7
Clear Lake,2017,Aug,17.848,1.253,0,17.714,0.133,4,8
Clear Lake,2017,Sep,18.202,2.355,0,18.061,0.141,2,9
Clear Lake,2017,Oct,17.68,1.211,0,17.547,0.133,2,10
Clear Lake,2017,Dec,75.456,12.744,1.898,54.594,18.964,2,12
Clear Lake,2018,Apr,15.513,NA,0.001,15.38,0.132,1,4
Clear Lake,2018,May,13.193,NA,0.001,13.092,0.1,1,5
Clear Lake,2018,Jun,13.254,3.446,0.001,13.118,0.136,3,6
Clear Lake,2018,Jul,16.74,1.28,0,16.677,0.062,4,7
Clear Lake,2018,Aug,18.52,3.945,0,18.47,0.05,4,8
Clear Lake,2018,Sep,13.548,4.283,0,13.492,0.056,2,9
Clear Lake,2018,Oct,17.598,0.931,0,17.554,0.044,3,10
Clear Lake,2018,Nov,17.207,NA,0,17.154,0.053,1,11
Clear Lake,2019,Jan,48.784,26.931,3.463,32.778,12.543,2,1
Clear Lake,2019,Mar,41.773,NA,9.029,22.535,10.21,1,3
Clear Lake,2019,Apr,18.202,0.654,0.003,17.986,0.213,2,4
Clear Lake,2019,May,19.085,1.012,0,18.895,0.19,2,5
Clear Lake,2019,Jun,16.52,1.802,0,16.25,0.269,3,6
Clear Lake,2019,Jul,13.878,3.65,0,13.725,0.154,4,7
Clear Lake,2019,Aug,16.196,7.412,0,16.137,0.058,4,8
Clear Lake,2019,Sep,16.302,2.751,0,16.262,0.04,3,9
Clear Lake,2019,Oct,22.827,10.147,0,22.788,0.04,3,10
Clear Lake,2019,Nov,21.917,4.207,0,21.901,0.015,2,11
Clear Lake,2020,Feb,22.274,3.076,0,22.179,0.096,2,2
Clear Lake,2020,Apr,15.798,2.838,0,15.74,0.058,3,4
Clear Lake,2020,May,14.745,1.293,0,14.718,0.027,2,5
Clear Lake,2020,Jun,9.914,8.32,0.001,9.885,0.028,2,6
Clear Lake,2020,Jul,16.798,1.525,0,16.744,0.055,4,7
Clear Lake,2020,Aug,14.809,0.486,0,14.751,0.059,2,8
Clear Lake,2020,Sep,16.717,1.667,0,16.67,0.047,3,9
Clear Lake,2020,Oct,13.797,6.662,0,13.751,0.046,4,10
Clear Lake,2020,Nov,30.951,6.469,0.006,30.09,0.855,2,11
Clear Lake,2020,Dec,70.484,30.958,3.518,36.868,30.099,2,12
Clear Lake,2021,Feb,34.852,NA,0.764,27.641,6.448,1,2
Clear Lake,2021,Mar,18.105,4.641,0.035,17.291,0.78,4,3
Clear Lake,2021,Apr,12.745,1.666,0,12.714,0.031,4,4
Clear Lake,2021,May,13.032,1.248,0,12.973,0.059,2,5
Clear Lake,2021,Jun,12.163,1.09,0,12.1,0.063,2,6
Clear Lake,2021,Jul,10.624,1.333,0,10.549,0.076,3,7
Clear Lake,2021,Aug,12.147,1.095,0,12.062,0.085,4,8
Clear Lake,2021,Sep,12.752,1.388,0,12.632,0.12,4,9
Clear Lake,2021,Oct,11.302,NA,0,11.133,0.169,1,10
Clear Lake,2021,Nov,27.187,16.176,0,26.291,0.896,3,11
Clear Lake,2021,Dec,17.156,5.222,0,17.005,0.151,3,12
Clear Lake,2022,Jan,30.648,4.45,0.862,24.67,5.116,2,1
Clear Lake,2022,Feb,22.432,3.987,0.326,19.6,2.505,5,2
Clear Lake,2022,Mar,14.505,2.951,0.012,13.37,1.124,3,3
Clear Lake,2022,Apr,12.109,0.724,0,9.695,2.414,3,4
Clear Lake,2022,May,12.05,0.365,0,8.44,3.61,2,5
Clear Lake,2022,Jun,6.116,7.05,0,5.77,0.346,2,6
Clear Lake,2022,Jul,11.858,1.695,0,11.329,0.529,6,7
Clear Lake,2022,Aug,10.621,1.041,0,9.925,0.696,8,8
